Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
168,37,1,28,5,Some Random Commen with Id 168
169,37,1,105,4,Some Random Commen with Id 169
170,38,6,182,3,Some Random Commen with Id 170
171,38,6,14,0,Some Random Commen with Id 171
172,38,6,153,9,Some Random Commen with Id 172
173,38,6,146,5,Some Random Commen with Id 173
174,38,6,165,5,Some Random Commen with Id 174
175,38,6,130,0,Some Random Commen with Id 175
176,38,6,61,1,Some Random Commen with Id 176
177,38,6,70,9,Some Random Commen with Id 177
178,39,8,76,6,Some Random Commen with Id 178
179,39,8,52,4,Some Random Commen with Id 179
180,39,8,114,3,Some Random Commen with Id 180
181,39,8,103,3,Some Random Commen with Id 181
182,39,8,145,6,Some Random Commen with Id 182
183,39,8,93,9,Some Random Commen with Id 183
184,39,8,37,1,Some Random Commen with Id 184
185,39,8,92,1,Some Random Commen with Id 185
186,39,8,81,8,Some Random Commen with Id 186
